6  6  3  
6  2  3  non-triangle.
4  0  7  non-triangle.
6  7  5  triangle.
8  3  4  non-triangle.
2  8  7  triangle.
0  2  7  non-triangle.
4  7  5  triangle.
2  0  7  non-triangle.
1  4  8  non-triangle.
6  2  2  non-triangle.
7  2  1  non-triangle.
8  2  2  non-triangle.
8  3  7  triangle.
8  6  4  triangle.
5  4  4  isosceles triangle.
0  5  4  non-triangle.
3  8  6  triangle.
2  4  2  non-triangle.
6  2  6  isosceles triangle.
8  4  5  triangle.
3  6  4  triangle.
5  0  3  non-triangle.
3  9  7  triangle.
1  7  2  non-triangle.
4  2  2  non-triangle.
6  6  9  
3  2  8  non-triangle.
3  8  7  triangle.
2  0  9  non-triangle.
2  5  3  non-triangle.
7  1  9  non-triangle.
2  9  5  non-triangle.
0  7  7  non-triangle.
9  6  1  non-triangle.
3  4  5  triangle.
4  7  2  non-triangle.
8  8  7  
9  9  3  
1  1  0  non-triangle.
2  7  4  non-triangle.
0  7  9  non-triangle.
0  7  8  non-triangle.
4  5  0  non-triangle.
5  1  5  isosceles triangle.
4  3  9  non-triangle.
8  3  7  triangle.
7  8  9  triangle.
1  7  5  non-triangle.
1  4  2  non-triangle.
5  0  1  non-triangle.
0  9  0  non-triangle.
4  4  4  equilateral triangle.
6  0  8  non-triangle.
4  8  9  triangle.
9  1  7  non-triangle.
3  5  8  non-triangle.
2  3  4  triangle.
1  2  6  non-triangle.
8  7  8  isosceles triangle.
9  5  6  triangle.
8  5  6  triangle.
3  6  5  triangle.
3  0  6  non-triangle.
8  1  3  non-triangle.
8  8  0  non-triangle.
6  6  4  
5  9  3  non-triangle.
4  8  8  isosceles triangle.
9  5  9  isosceles triangle.
0  4  8  non-triangle.
3  7  2  non-triangle.
7  0  7  non-triangle.
1  2  0  non-triangle.
8  9  0  non-triangle.
7  1  9  non-triangle.
9  7  1  non-triangle.
4  0  6  non-triangle.
2  3  7  non-triangle.
1  3  3  isosceles triangle.
4  6  5  triangle.
9  0  9  non-triangle.
8  1  6  non-triangle.
5  5  3  
3  9  3  non-triangle.
8  2  5  non-triangle.
4  0  4  non-triangle.
5  3  4  triangle.
1  5  7  non-triangle.
1  8  2  non-triangle.
9  9  7  
1  7  0  non-triangle.
3  9  2  non-triangle.
3  0  6  non-triangle.
4  4  2  
3  4  4  isosceles triangle.
6  5  9  triangle.
9  9  2  
5  6  5  isosceles triangle.
0  6  5  non-triangle.
5  3  8  non-triangle.
3  3  8  non-triangle.
5  6  1  non-triangle.
5  8  0  non-triangle.
5  3  0  non-triangle.
6  3  7  triangle.
3  8  8  isosceles triangle.
6  2  7  triangle.
2  5  9  non-triangle.
6  4  7  triangle.
0  3  6  non-triangle.
8  6  2  non-triangle.
8  1  0  non-triangle.
7  8  2  triangle.
7  5  3  triangle.
0  6  1  non-triangle.
0  5  6  non-triangle.
8  3  6  triangle.
1  7  3  non-triangle.
2  6  4  non-triangle.
0  6  3  non-triangle.
4  2  8  non-triangle.
2  4  1  non-triangle.
7  3  7  isosceles triangle.
7  6  6  isosceles triangle.
8  0  0  non-triangle.
5  5  7  
1  4  8  non-triangle.
3  5  5  isosceles triangle.
1  5  7  non-triangle.
7  8  5  triangle.
4  6  3  triangle.
7  4  5  triangle.
2  1  3  non-triangle.
9  6  6  isosceles triangle.
9  2  8  triangle.
3  7  9  triangle.
3  9  2  non-triangle.
1  4  6  non-triangle.
4  1  1  non-triangle.
6  9  9  isosceles triangle.
6  8  2  non-triangle.
3  5  3  isosceles triangle.
8  6  1  non-triangle.
2  5  2  non-triangle.
9  2  8  triangle.
4  6  9  triangle.
3  7  4  non-triangle.
0  2  8  non-triangle.
2  2  1  
8  6  1  non-triangle.
0  5  3  non-triangle.
2  5  4  triangle.
6  9  8  triangle.
2  5  8  non-triangle.
7  1  2  non-triangle.
8  8  4  
0  4  3  non-triangle.
1  9  6  non-triangle.
7  6  8  triangle.
7  8  1  non-triangle.
4  8  2  non-triangle.
0  8  9  non-triangle.
6  9  4  triangle.
9  2  3  non-triangle.
9  8  4  triangle.
7  9  0  non-triangle.
7  1  9  non-triangle.
3  3  2  
4  3  5  triangle.
2  2  3  
4  6  7  triangle.
2  8  1  non-triangle.
6  8  2  non-triangle.
2  1  3  non-triangle.
8  1  2  non-triangle.
3  6  1  non-triangle.
9  6  9  isosceles triangle.
6  2  4  non-triangle.
6  6  7  
5  9  7  triangle.
4  0  2  non-triangle.
5  7  3  triangle.
4  3  7  non-triangle.
9  6  0  non-triangle.
9  9  6  
7  4  3  non-triangle.
3  2  3  isosceles triangle.
6  2  2  non-triangle.
6  9  8  triangle.
0  9  0  non-triangle.
6  6  2  
3  3  6  non-triangle.
5  1  2  non-triangle.
1  5  8  non-triangle.
3  0  8  non-triangle.
5  4  1  non-triangle.
0  1  6  non-triangle.
5  5  2  
2  0  5  non-triangle.

Total Test case: 200

non_triangle: 119
triangle: 44
isosceles_triangle: 18
equilateral_triangle: 1
error (with no output triangle type): 18
========================================= 
